feature_set,valid_score,valid_trades,valid_pnl,valid_max_dd,oot_trades,oot_pnl,oot_max_dd,oot_win_rate,thresholds,params
vwap_no_side_flag,3.371231,56,2182.4,-646.36,19,5266.36,-900.74,0.5263,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_distance_deviation,3.33951,24,1342.65,-401.05,11,5762.75,-368.31,0.6364,"{""0"": 0.55, ""1"": 0.45, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_no_side_flag,3.309431,40,2429.42,-733.09,9,5294.52,-305.8,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_distance_deviation,3.262513,73,2122.95,-649.71,27,5250.79,-1007.77,0.4444,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_full,3.243745,25,1160.32,-356.71,12,5341.48,-900.74,0.75,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,3.239129,40,2251.81,-694.19,10,2128.35,-986.2,0.4,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_slope_deviation,3.208493,28,1588.91,-494.22,8,4056.21,-477.6,0.75,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,3.194305,35,1300.05,-405.99,11,3391.84,-368.31,0.6364,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_slope_deviation,3.149237,75,3031.33,-961.56,25,3266.81,-1218.63,0.44,"{""0"": 0.55, ""1"": 0.55, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_full,3.120987,48,1939.6,-620.47,15,6473.99,-573.68,0.7333,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
